X,Y,
-78.06258048,39.7946046,
-77.57238255,39.6973919,
-77.08219848,39.6000971,
-76.5920361,39.5027191,
-76.10188863,39.40525253,
-75.61175735,39.30769318,
-75.12164975,39.21003878,
-74.63155893,39.11228668,
-74.14148523,39.0144405,
-73.65143158,38.91651115,
-73.16138818,38.81851808,
-72.67135118,38.7204955,
-72.18130933,38.62249245,
-71.69124885,38.52457923,
-71.20115713,38.42684865,
-70.71099648,38.32941238,
-70.2207535,38.23241318,
-69.7304043,38.1360129,
-69.2398809,38.04038273,
-68.7491862,37.9457175,
-68.25828113,37.8522081,
-67.7670959,37.76003863,
-67.2756427,37.66939325,
-66.78389475,37.58042528,
-66.29179793,37.49325415,
-65.79938725,37.4079794,
-65.30665065,37.32465058,
-64.81356838,37.24326823,
-64.32018948,37.1637888,
-63.82652238,37.08613368,
-63.33257388,37.0102157,
-62.83837645,36.93598165,
-62.34393205,36.86341925,
-61.84923408,36.79256355,
-61.35429035,36.72347625,
-60.85909523,36.6562157,
-60.36364708,36.59082995,
-59.8679512,36.52736293,
-59.37200628,36.46585823,
-58.87581933,36.40636215,
-58.37938918,36.34891688,
-57.88271815,36.29356025,
-57.38582368,36.24032705,
-56.88869708,36.1892485,
-56.3913455,36.14035923,
-55.89379518,36.09369755,
-55.39602845,36.0492975,
-54.89805133,36.0072078,
-54.39987233,35.96749315,
-53.9015028,35.9302187,
-53.40299315,35.89542648,
-52.90428618,35.86312273,
-52.40545655,35.8333508,
-51.90644883,35.80615628,
-51.4073483,35.78159438,
-50.90810328,35.75971583,
-50.4086862,35.74057485,
-49.90930693,35.72423555,
-49.40975995,35.71075393,
-48.91004593,35.70018995,
-48.41052105,35.69260565,
-47.9108025,35.68808758,
-47.4109487,35.68658135,
-46.91147795,35.68785918,
-46.41156325,35.69202975,
-45.91177028,35.6993761,
-45.41199533,35.71024045,
-44.9123239,35.7248043,
-44.41292768,35.74321593,
-43.91325678,35.76572915,
-43.41439535,35.79258583,
-42.91565028,35.82417188,
-42.41672235,35.8609401,
-41.9191481,35.90326838,
-41.42190168,35.95180005,
-40.92473223,36.00719548,
-40.42915173,36.06982353,
-39.93492715,36.14022915,
-39.4402877,36.21938353,
-38.9482595,36.30778943,
-38.45949888,36.40614788,
-37.97139048,36.51561205,
-37.4864687,36.6362171,
-37.00629018,36.7686075,
-36.5283745,36.9151178,
-36.05672248,37.07572745,
-35.58969715,37.2506632,
-35.12594075,37.44067898,
-34.6692703,37.64491283,
-34.22063903,37.86346323,
-33.77801353,38.09761645,
-33.34432213,38.34641985,
-32.9204511,38.61041743,
-32.5066294,38.891178,
-32.10527453,39.18885285,
-31.71767345,39.50428273,
-31.347117,39.84004855,
-30.99861875,40.19810615,
-30.67541735,40.57910488,
-30.37925003,40.98157515,
-30.11067698,41.40277718,
-29.8702249,41.84074133,
-29.65838428,42.29339588,
-29.4755363,42.75822653,
-29.32156368,43.23364783,
-29.19649823,43.7174564,
-29.10012633,44.20778335,
-29.03203313,44.7029179,
-28.99175303,45.20103715,
-28.97873258,45.70075443,
-28.99235668,46.20000168,
-29.032025,46.69856143,
-29.09696945,47.1941806,
-29.18629555,47.68527708,
-29.29962078,48.17283268,
-29.4356023,48.6536303,
-29.59336003,49.12717025,
-29.77271263,49.59465155,
-29.97173483,50.05277823,
-30.18968013,50.50156573,
-30.42680288,50.94250275,
-30.68084105,51.37248483,
-30.95097665,51.79178095,
-31.23741305,52.20212178,
-31.53804155,52.60140928,
-31.8520402,52.98955565,
-32.17919323,53.36718353,
-32.51876223,53.7341795,
-32.8694712,54.08993083,
-33.23076883,54.43466093,
-33.6024098,54.7688138,
-33.9833438,55.09205185,
-34.3729261,55.40451608,
-34.7713766,55.70658778,
-35.176812,55.99674045,
-35.59007253,56.27612178,
-36.01184068,56.5459769,
-36.4392176,56.8052186,
-36.87166838,57.05414043,
-37.31085393,57.29429555,
-37.75459795,57.52501588,
-38.2021143,57.7463739,
-38.65467213,57.95958588,
-39.11062398,58.16452425,
-39.56989953,58.36180948,
-40.03249633,58.5518811,
-40.4976816,58.73481963,
-40.96575253,58.91121185,
-41.4351583,59.08118163,
-41.90717215,59.24562028,
-42.3811803,59.40378105,
-42.85712653,59.5554604,
-43.33532313,59.70085615,
-43.81530423,59.839927,
-44.29694593,59.9727546,
-44.78037308,60.09948533,
-45.26529538,60.22014525,
-45.75165128,60.3348971,
-46.23932633,60.44399055,
-46.72812623,60.54779828,
-47.21797613,60.6468945,
-47.70855848,60.74200395,
-48.1997418,60.83413335,
-48.691328,60.92433148,
-49.18304708,61.01353893,
-49.67482415,61.10244428,
-50.16657745,61.1914356,
-50.658287,61.2806891,
-51.14994285,61.37024143,
-51.64154743,61.46006493,
-52.13311388,61.55010113,
-52.62465313,61.64028525,
-53.11617575,61.73056128,
-53.6076894,61.8208845,
-54.09919985,61.91122475,
-54.59071133,62.0015632,
-55.08222435,62.0918893,
-55.57374033,62.18219945,
-56.06526005,62.27249368,
-56.5567815,62.36277373,
-57.048305,62.45304265,
-57.53983093,62.54330353,
-58.0313569,62.6335586,
-58.52288358,62.72381015,
-59.0144116,62.8140599,
-59.50593868,62.90430853,
-59.9974659,62.99455695,
-60.4889942,63.08480583,
-60.98052105,63.17505493,
-61.47204778,63.26530483,
-61.96357675,63.35555495,
-62.45510503,63.44580313,
-62.94663593,63.53604883,
-63.43816235,63.62629243,
-63.92969185,63.71653788,
-64.42122028,63.80678485,
-64.91274575,63.89703325,
-65.4042741,63.98728448,
-65.8958014,64.0775381,
-66.38732555,64.16779405,
-66.87885228,64.25805375,
-67.3703778,64.34831683,
-67.86190015,64.4385833,
-68.35342468,64.52885455,
-68.8449478,64.61913035,
-69.33646775,64.70941083,
-69.82798938,64.79969733,
-70.31950943,64.8899898,
-70.81102615,64.98028845,
-71.30254408,65.07059478,
-71.79406008,65.16090888,
-72.28557258,65.2512312,
-72.77708568,65.34156343,
-73.26859643,65.4319059,
-73.76010333,65.52225948,
-74.25161005,65.612626,
-74.7431138,65.70300625,
-75.23461315,65.7934014,
-75.72611143,65.8838136,
-76.21760593,65.97424395,
-76.70909533,66.06469383,
-77.20058258,66.15516548,
-77.69206523,66.24566005,
-78.18354203,66.33617885,
-78.67501573,66.42672383,
-79.16648405,66.51729588,
-79.65794598,66.60789598,
